polity,parl_year,century_firstcommune,first_century_commune,avg_conflicts_50yr_post_commune,avg_conflicts_100yr_post_commune
Aragon,1348.0,11.0,1000.0,0.1,0.11
Austria,1402.0,12.0,1100.0,0.02,0.02
Bavaria,1347.0,12.0,1100.0,0.04,0.03
Bohemia,1435.0,13.0,1200.0,0.0,0.03
Brabant,1312.0,13.0,1200.0,0.0,0.02
Brittany,1352.0,13.0,1200.0,0.0,0.02
Burgundy,1352.0,12.0,1100.0,0.04,0.03
Castile,1250.0,12.0,1100.0,0.04,0.04
Catalonia,1228.0,12.0,1100.0,0.02,0.02
Denmark,1468.0,13.0,1200.0,0.12,0.07
England,1265.0,12.0,1100.0,0.2,0.21
Flanders,1304.0,12.0,1100.0,0.08,0.05
France,1302.0,11.0,1000.0,0.14,0.09
Guelders,1423.0,13.0,1200.0,0.0,0.02
Hesse,1387.0,13.0,1200.0,0.0,0.01
Holland,1542.0,12.0,1100.0,0.02,0.02
Hungary,1397.0,13.0,1200.0,0.08,0.07
Ireland,1299.0,12.0,1100.0,0.02,0.05
Leon,1188.0,11.0,1000.0,0.14,0.12
Lorraine,1251.0,12.0,1100.0,0.02,0.02
Naples,1444.0,12.0,1100.0,0.02,0.02
Navarre,1355.0,12.0,1100.0,0.02,0.02
Norway,1591.0,13.0,1200.0,0.0,0.01
Palatinate,1505.0,12.0,1100.0,0.02,0.02
Papal States,1357.0,11.0,1000.0,0.1,0.05
Piedmont,1328.0,11.0,1000.0,0.1,0.05
Poland,1468.0,13.0,1200.0,0.06,0.04
Pomerania,1295.0,13.0,1200.0,0.0,0.01
Portugal,1254.0,12.0,1100.0,0.12,0.08
Prussia,1324.0,12.0,1100.0,0.02,0.02
Sardinia,1355.0,13.0,1200.0,0.02,0.02
Saxony,1438.0,12.0,1100.0,0.1,0.08
Scotland,1326.0,12.0,1100.0,0.08,0.06
Sicily,1283.0,11.0,1000.0,0.1,0.11
Sweden,1523.0,14.0,1300.0,0.0,0.04
Valencia,1283.0,13.0,1200.0,0.0,0.01
Wurttemberg,1457.0,13.0,1200.0,0.0,0.01
