dyad,rivalry_years_enduring,rivalry_years_proto,rivalry_years_strategic,rivalry_years_interstate_i,rivalry_years_interstate_ii,total_rivalry_years,war_years_centeno,war_years_cow
Argentina-Brazil,0,0,86,0,0,86,0,0
Argentina-Chile,10,0,92,85,85,272,0,0
Argentina-Germany,0,7,0,0,0,7,0,0
Argentina-UK,0,0,36,0,0,36,0,0
Bolivia-Chile,0,0,101,5,12,118,0,0
Bolivia-Paraguay,21,0,39,0,0,60,4,4
Bolivia-Peru,0,0,33,0,0,33,0,0
Brazil-Germany,0,4,0,0,0,4,0,0
Brazil-UK,0,0,0,0,66,66,0,0
Chile-Peru,0,13,30,30,0,73,0,0
Colombia-Ecuador,0,0,20,0,0,20,0,0
Colombia-Germany,0,2,0,0,0,2,0,0
Colombia-Nicaragua,0,0,14,0,0,14,0,0
Colombia-Peru,0,14,36,35,0,85,2,0
Colombia-Venezuela,0,0,120,0,0,120,0,0
Ecuador-Peru,56,22,99,101,0,278,3,0
Ecuador-USA,0,0,0,0,29,29,0,0
Mexico-Germany,0,4,0,0,0,4,0,0
Mexico-USA,0,10,24,28,0,62,0,0
Peru-USA,38,0,0,0,9,47,0,0
Uruguay-Germany,0,7,0,0,0,7,0,0
Venezuela-Guyana,0,17,35,0,0,52,0,0
Venezuela-Trinidad,0,4,0,0,0,4,0,0
